iter,l2_abs,l2_rel
1000,4.665274620056e-01,1.000022295025e+00
2000,4.665194153786e-01,1.000005046723e+00
500,4.665263593197e-01,1.000019931369e+00
1000,4.665272235870e-01,1.000021783964e+00
1500,4.665235280991e-01,1.000013862522e+00
500,1.785656437278e-02,3.827633727832e-02
1000,1.365495659411e-02,2.927000475600e-02
1500,9.783355519176e-03,2.097105623165e-02
2000,7.706028409302e-03,1.651821348794e-02
2500,1.416733022779e-02,3.036830035228e-02
3000,7.561277132481e-03,1.620793270955e-02
3500,5.363075062633e-03,1.149598913099e-02
4000,4.835128318518e-03,1.036431188217e-02
4500,4.680740181357e-03,1.003337406645e-02
5000,8.009957149625e-03,1.716969821537e-02
-1,8.009957149625e-03,1.716969821537e-02
1000,1.569308340549e-02,3.363881992223e-02
2000,9.289280511439e-03,1.991198455123e-02
3000,6.518934387714e-03,1.397362483120e-02
4000,5.141641478986e-03,1.102133642874e-02
5000,5.752175580710e-03,1.233004333953e-02
-1,5.752175580710e-03,1.233004333953e-02
50,1.137669663876e-03,2.438645355107e-03
100,1.137669663876e-03,2.438645355107e-03
150,1.137669663876e-03,2.438645355107e-03
200,1.137669663876e-03,2.438645355107e-03
250,1.137669663876e-03,2.438645355107e-03
300,1.137669663876e-03,2.438645355107e-03
350,1.137669663876e-03,2.438645355107e-03
400,1.137669663876e-03,2.438645355107e-03
450,1.137669663876e-03,2.438645355107e-03
500,1.137669663876e-03,2.438645355107e-03
550,1.137669663876e-03,2.438645355107e-03
600,1.137669663876e-03,2.438645355107e-03
650,1.137669663876e-03,2.438645355107e-03
700,1.137669663876e-03,2.438645355107e-03
-1,1.137669663876e-03,2.438645355107e-03
500,9.204620146193e-04,1.973051130550e-03
1000,1.380907371640e-03,2.960036163933e-03
1500,1.074669766240e-03,2.303602281866e-03
