iter,l2_abs,l2_rel
500,1.431123682343e-02,2.881457078537e-02
500,1.431123682343e-02,2.881457078537e-02
1000,1.327059674631e-02,2.671932230795e-02
500,1.444624330728e-02,2.908639592063e-02
500,1.727479272286e-01,3.478146185804e-01
1000,1.645993720845e-01,3.314081317131e-01
1500,1.536894097199e-01,3.094417645360e-01
500,4.891489639630e-01,9.848636858296e-01
500,1.453513361141e-02,2.926536968734e-02
1000,1.320243227364e-02,2.658207840324e-02
500,1.834718710311e-02,3.694064517397e-02
500,3.459714238616e-03,6.965867594515e-03
500,2.188734749553e-03,4.406848489024e-03
500,1.544214445367e-02,3.109156601403e-02
500,4.886335974006e-01,9.838260350328e-01
1000,3.570106214123e-01,7.188133317012e-01
1500,1.197728750942e-01,2.411534397864e-01
2000,8.062274786757e-02,1.623276802700e-01
2500,5.997169634956e-02,1.207483819116e-01
3000,5.178729329600e-02,1.042697180454e-01
3500,4.617000302647e-02,9.295973763700e-02
4000,4.604517121893e-02,9.270839842719e-02
4500,3.919474870420e-02,7.891560141770e-02
5000,3.701529657467e-02,7.452744276765e-02
5500,3.470862692830e-02,6.988314146623e-02
6000,3.293216873579e-02,6.630638000481e-02
