iter,l2_abs,l2_rel
1000,2.075244188539e-01,3.409384909539e-01
2000,1.988944665499e-01,3.267604827380e-01
3000,1.915979494871e-01,3.147731535824e-01
4000,1.790508602196e-01,2.941597447877e-01
500,1.711036806260e-01,2.811034527476e-01
1000,1.588001833626e-01,2.608902372928e-01
1500,8.735147719697e-02,1.435083205273e-01
2000,4.750571516735e-02,7.804636644830e-02
2500,3.899044396819e-02,6.405676595340e-02
500,1.771767777966e-01,2.910808452694e-01
500,1.780106693650e-01,2.924508321584e-01
1000,1.682392290476e-01,2.763974918592e-01
1500,1.582401534814e-01,2.599701733136e-01
2000,1.540273300455e-01,2.530489942408e-01
2500,1.453538473802e-01,2.387994707026e-01
3000,1.307937115678e-01,2.148788604948e-01
3500,1.141514955006e-01,1.875376345158e-01
500,1.678601758130e-01,2.757747514679e-01
500,9.586101280549e-02,1.574884981137e-01
1000,7.464010104082e-02,1.226250074765e-01
1500,7.081571433568e-02,1.163419847880e-01
500,2.360518960782e-01,3.878058190944e-01
500,2.787464664009e-01,4.579480339631e-01
500,4.917591609277e-01,8.079031237162e-01
500,1.690160580399e-01,2.776737315703e-01
1000,1.220249946547e-01,2.004728781605e-01
1500,1.073671566926e-01,1.763917546810e-01
2000,9.648462563565e-02,1.585130214851e-01
2500,8.393819501297e-02,1.379006947672e-01
