iter,l2_abs,l2_rel
200,4.958835542202e-01,1.001784948368e+00
400,4.947144389153e-01,9.994230992902e-01
600,4.932132661343e-01,9.963904270346e-01
200,4.958835542202e-01,1.001784948368e+00
400,4.947144389153e-01,9.994230992902e-01
600,4.932132661343e-01,9.963904270346e-01
800,4.917846024036e-01,9.935042377076e-01
1000,4.908237159252e-01,9.915630529214e-01
1200,4.897366464138e-01,9.893669529195e-01
1400,4.885178506374e-01,9.869047392536e-01
1600,4.871557056904e-01,9.841529313062e-01
1800,4.856390058994e-01,9.810888913540e-01
2000,4.843466579914e-01,9.784780875246e-01
2200,4.834044277668e-01,9.765745921397e-01
2400,4.823515713215e-01,9.744476094424e-01
2600,4.811825156212e-01,9.720858807777e-01
2800,4.798786640167e-01,9.694518371577e-01
3000,4.784078598022e-01,9.664805155409e-01
3200,4.767158031464e-01,9.630622192993e-01
3400,4.747489690781e-01,9.590888171794e-01
3600,4.724830389023e-01,9.545111805048e-01
3800,4.699108302593e-01,9.493147994580e-01
4000,4.670675694942e-01,9.435708383717e-01
4200,4.640867710114e-01,9.375490233128e-01
4400,4.611368775368e-01,9.315896426135e-01
4600,4.591239690781e-01,9.275231609179e-01
4800,4.575103819370e-01,9.242633889472e-01
5000,4.557474255562e-01,9.207018609394e-01
5200,4.538223743439e-01,9.168128686288e-01
5400,4.517248570919e-01,9.125754600798e-01
5600,4.494578838348e-01,9.079957161702e-01
5800,4.471614956856e-01,9.033565482366e-01
6000,4.449873268604e-01,8.989642880261e-01
6200,4.429526329041e-01,8.948537952246e-01
6400,4.410341084003e-01,8.909779881837e-01
6600,4.391878843307e-01,8.872482426245e-01
6800,4.382116198540e-01,8.852759911753e-01
7000,4.372014999390e-01,8.832353449020e-01
7200,4.361094832420e-01,8.810292505860e-01
7400,4.349309802055e-01,8.786484363938e-01
7600,4.336619675159e-01,8.760847744193e-01
7800,4.322990477085e-01,8.733314010975e-01
8000,4.312078058720e-01,8.711268721560e-01
8200,4.304553568363e-01,8.696067731088e-01
8400,4.296428561211e-01,8.679653575382e-01
8600,4.287677109241e-01,8.661973874605e-01
8800,4.278280138969e-01,8.642990096460e-01
9000,4.268226027489e-01,8.622678760331e-01
9200,4.257510900497e-01,8.601032039345e-01
9400,4.246533811092e-01,8.578856101367e-01
9600,4.235703051090e-01,8.556975778341e-01
9800,4.225130081177e-01,8.535616243368e-01
10000,4.214823842049e-01,8.514795558461e-01
10200,4.204861819744e-01,8.494670261070e-01
10400,4.195146262646e-01,8.475042873182e-01
10600,4.185720682144e-01,8.456001296595e-01
10800,4.176503717899e-01,8.437381166986e-01
11000,4.167547523975e-01,8.419287846102e-01
11200,4.158924221992e-01,8.401867034184e-01
11400,4.150522947311e-01,8.384894762264e-01
11600,4.142373502254e-01,8.368431237055e-01
11800,4.134431779385e-01,8.352387352624e-01
12000,4.126753807068e-01,8.336876297588e-01
12200,4.119330942631e-01,8.321880612001e-01
12400,4.112201631069e-01,8.307477962521e-01
12600,4.105318188667e-01,8.293572018408e-01
12800,4.098623692989e-01,8.280047784846e-01
13000,4.092124104500e-01,8.266917303175e-01
13200,4.085824489594e-01,8.254190808538e-01
13400,4.081723392010e-01,8.245905762994e-01
13600,4.078469872475e-01,8.239332996320e-01
13800,4.074963629246e-01,8.232249676734e-01
14000,4.071195423603e-01,8.224637140155e-01
14200,4.067157804966e-01,8.216480334906e-01
14400,4.062845408916e-01,8.207768423779e-01
14600,4.058256447315e-01,8.198497794371e-01
14800,4.053562283516e-01,8.189014635272e-01
15000,4.048952758312e-01,8.179702463233e-01
15200,4.044483006001e-01,8.170672660670e-01
15400,4.040117561817e-01,8.161853581596e-01
15600,4.035888910294e-01,8.153310851328e-01
15800,4.031791090965e-01,8.145032428522e-01
16000,4.027837812901e-01,8.137046008267e-01
16200,4.024039208889e-01,8.129372060842e-01
16400,4.020375013351e-01,8.121969645686e-01
16600,4.016834795475e-01,8.114817690449e-01
16800,4.013423323631e-01,8.107925828205e-01
17000,4.010146558285e-01,8.101306100296e-01
17200,4.006983041763e-01,8.094915157890e-01
17400,4.003937244415e-01,8.088762031994e-01
17600,4.001012444496e-01,8.082853345346e-01
17800,3.998215198517e-01,8.077202343422e-01
18000,3.995513617992e-01,8.071744605041e-01
18200,3.992892205715e-01,8.066448822714e-01
18400,3.990367650986e-01,8.061348712198e-01
18600,3.987942934036e-01,8.056450294166e-01
18800,3.985598385334e-01,8.051713832187e-01
