iter,l2_abs,l2_rel  0.13
500,2.109111025769e-01,4.246532266641e-01
500,2.109111025769e-01,4.246532266641e-01
1000,1.872095905283e-01,3.769320614656e-01
1500,2.040610140417e-01,4.108611020965e-01
2000,2.278021633905e-01,4.586620739397e-01
2500,2.580152453515e-01,5.194937825859e-01
3000,2.906617726604e-01,5.852250456238e-01
3500,3.206956149862e-01,6.456958690984e-01
4000,3.458890055827e-01,6.964208166080e-01
4500,3.629384507831e-01,7.307485586222e-01
5000,3.719280109107e-01,7.488483441139e-01
5500,3.806704102146e-01,7.664504903634e-01
6000,3.883175451441e-01,7.818474063288e-01
6500,3.925693942249e-01,7.904081762901e-01
7000,3.968565597685e-01,7.990400532236e-01
7500,4.010149271996e-01,8.074126050982e-01
8000,4.031620373185e-01,8.117356456061e-01
8500,4.049420394794e-01,8.153195425742e-01
500,1.549212293666e+00,3.119219383213e+00
1000,8.354946530217e-01,1.682203999369e+00
1500,5.519329324051e-01,1.111274360545e+00
2000,4.061179609891e-01,8.176871697751e-01
2500,3.092257873909e-01,6.226022564904e-01
3000,2.763925370601e-01,5.564950410595e-01
3500,2.453971748805e-01,4.940882715705e-01
4000,2.127915972672e-01,4.284394575841e-01
4500,1.796596340450e-01,3.617308068012e-01
5000,1.488070947845e-01,2.996116002366e-01
5500,1.305943393373e-01,2.629416228262e-01
6000,1.169125182411e-01,2.353943320287e-01
6500,1.039522832717e-01,2.092998992043e-01
7000,9.600175274028e-02,1.932921196109e-01
7500,9.025836878784e-02,1.817282593040e-01
8000,8.490271768746e-02,1.709450691690e-01
8500,8.139404516914e-02,1.638806278570e-01
9000,7.921030673516e-02,1.594838390637e-01
9500,7.710856013952e-02,1.552521345088e-01
10000,7.456841378526e-02,1.501377458761e-01
10500,7.293767238756e-02,1.468543739344e-01
11000,7.083439181624e-02,1.426195808378e-01
11500,6.892049020675e-02,1.387660876643e-01
12000,6.699377266397e-02,1.348867905983e-01
12500,6.467801595396e-02,1.302241931956e-01
13000,6.225254478347e-02,1.253406941947e-01
13500,5.920578157433e-02,1.192062716259e-01
14000,5.634219868026e-02,1.134406684835e-01
14500,5.364194359834e-02,1.080039132850e-01
15000,5.068546184088e-02,1.020512654512e-01
15500,4.801855649710e-02,9.668165737651e-02
16000,4.563751755679e-02,9.188761924168e-02
16500,4.360581949708e-02,8.779695200737e-02
17000,4.150785328747e-02,8.357285896789e-02
17500,4.012239630984e-02,8.078334827469e-02
18000,3.912523569108e-02,7.877564233087e-02
18500,3.787508282368e-02,7.625855602068e-02
19000,3.619936425639e-02,7.288462601943e-02
19500,3.500412360752e-02,7.047810122305e-02
20000,3.361252280341e-02,6.767622040942e-02
20500,3.234828913109e-02,6.513078348529e-02
21000,3.106343070871e-02,6.254382021876e-02
21500,2.997926879306e-02,6.036094387852e-02
22000,2.894032731276e-02,5.826911539470e-02
22500,2.787399913586e-02,5.612214591101e-02
23000,2.696484929597e-02,5.429164287767e-02
23500,2.620144594472e-02,5.275458915033e-02
24000,2.544137133467e-02,5.122423758648e-02
24500,2.482988560517e-02,4.999305826534e-02
25000,2.435520000281e-02,4.903731544180e-02
25500,2.389983550353e-02,4.812047416809e-02
26000,2.343208809797e-02,4.717870086830e-02
26500,2.311327839529e-02,4.653680213807e-02
27000,2.297990962089e-02,4.626827440439e-02
27500,2.279669327650e-02,4.589938243582e-02
28000,2.260251538747e-02,4.550842024314e-02
28500,2.252730450219e-02,4.535698893050e-02
29000,2.253476185280e-02,4.537200373038e-02
29500,2.243159544839e-02,4.516428613760e-02
30000,2.241720341360e-02,4.513530888634e-02
30500,2.229848161233e-02,4.489627170260e-02
31000,2.244166841269e-02,4.518456727377e-02
31500,2.237684527957e-02,4.505405089837e-02
32000,2.239164005736e-02,4.508383904157e-02
32500,2.241982826608e-02,4.514059382424e-02
33000,2.248009080740e-02,4.526192780004e-02
33500,2.255118460007e-02,4.540506966447e-02
34000,2.263603299633e-02,4.557590536165e-02
34500,2.266176648399e-02,4.562771775290e-02
35000,2.276762506828e-02,4.584085584208e-02
35500,2.284523019033e-02,4.599710776568e-02
36000,2.289655741292e-02,4.610045116685e-02
36500,2.296461742580e-02,4.623748474984e-02
37000,2.300987208424e-02,4.632860151180e-02
37500,2.306141702525e-02,4.643238327223e-02
38000,2.309755003118e-02,4.650513429087e-02
38500,2.315002683699e-02,4.661079228915e-02
39000,2.319323459072e-02,4.669778776645e-02
39500,2.316688262662e-02,4.664473012062e-02
40000,2.316866246133e-02,4.664831368044e-02
40500,2.317935370900e-02,4.666983968246e-02
41000,2.323577924349e-02,4.678344814117e-02
41500,2.321974123124e-02,4.675115684134e-02
42000,2.321041809226e-02,4.673238542056e-02
42500,2.321814296339e-02,4.674793885236e-02
43000,2.315588021529e-02,4.662257761458e-02
43500,2.318948188814e-02,4.669023198946e-02
44000,2.315061604748e-02,4.661197861899e-02
44500,2.311338404819e-02,4.653701486203e-02
45000,2.300196655595e-02,4.631268434076e-02
45500,2.303720775672e-02,4.638363977855e-02
