iter,t,l2_abs,l2_rel
500,5.0,2.425968167267e-02,7.295226462684e+00
500,5.0,5.133512512843e-02,1.543719197784e+01
500,5.0,5.133512489335e-02,1.543719190714e+01
500,5.0,4.893438235297e-02,1.471525496061e+01
1000,5.0,6.347234387182e-02,1.908702384929e+01
1500,5.0,1.806029441791e-01,5.430983783676e+01
2000,5.0,4.225256310074e-01,1.270593821501e+02
2500,5.0,4.164879945534e-01,1.252437802051e+02
3000,5.0,3.857556392597e-01,1.160021300208e+02
3500,5.0,4.412151129224e-01,1.326795714370e+02
4000,5.0,4.197355793014e-01,1.262203744783e+02
4500,5.0,4.663364010500e-01,1.402338950426e+02
5000,5.0,4.712259346145e-01,1.417042463494e+02
5500,5.0,4.736646515078e-01,1.424376027164e+02
6000,5.0,4.979036113811e-01,1.497265978434e+02
6500,5.0,5.198877120395e-01,1.563375251856e+02
7000,5.0,5.167945439755e-01,1.554073661745e+02
7500,5.0,5.287715277063e-01,1.590090131307e+02
8000,5.0,5.265488607925e-01,1.583406260222e+02
8500,5.0,5.363921088216e-01,1.613006287324e+02
9000,5.0,5.386533800673e-01,1.619806247049e+02
9500,5.0,5.469107376342e-01,1.644637279149e+02
10000,5.0,5.495073632544e-01,1.652445696503e+02
10500,5.0,5.556889238599e-01,1.671034516059e+02
11000,5.0,5.589661389836e-01,1.680889561487e+02
11500,5.0,5.623925198333e-01,1.691193169169e+02
12000,5.0,5.642079739922e-01,1.696652494399e+02
12500,5.0,5.664569288035e-01,1.703415416878e+02
13000,5.0,5.672411142283e-01,1.705773572414e+02
13500,5.0,5.671053314373e-01,1.705365254521e+02
14000,5.0,5.684199528852e-01,1.709318505559e+02
14500,5.0,5.690857727419e-01,1.711320719233e+02
15000,5.0,5.694281789541e-01,1.712350382727e+02
15500,5.0,5.700731041446e-01,1.714289763211e+02
16000,5.0,5.707943524244e-01,1.716458657926e+02
16500,5.0,5.715377045595e-01,1.718694022033e+02
17000,5.0,5.722360656241e-01,1.720794091683e+02
17500,5.0,5.733245228364e-01,1.724067235150e+02
18000,5.0,5.747251984308e-01,1.728279263074e+02
18500,5.0,5.763744537171e-01,1.733238804988e+02
19000,5.0,5.780648886515e-01,1.738322179878e+02
19500,5.0,5.799680796997e-01,1.744045342237e+02
20000,5.0,5.818731783062e-01,1.749774240891e+02
20500,5.0,5.838220098057e-01,1.755634650487e+02
21000,5.0,5.855451634690e-01,1.760816415183e+02
21500,5.0,5.871093654412e-01,1.765520189855e+02
22000,5.0,5.884111107930e-01,1.769434720667e+02
22500,5.0,5.896206300707e-01,1.773071914741e+02
23000,5.0,5.903259151325e-01,1.775192805821e+02
23500,5.0,5.910191372845e-01,1.777277422040e+02
24000,5.0,5.913231086199e-01,1.778191506470e+02
24500,5.0,5.917015631825e-01,1.779329572409e+02
25000,5.0,5.911471178979e-01,1.777662277690e+02
25500,5.0,5.919664278192e-01,1.780126057512e+02
26000,5.0,5.919318627238e-01,1.780022115424e+02
26500,5.0,5.918789595954e-01,1.779863028298e+02
27000,5.0,5.919368362477e-01,1.780037071507e+02
27500,5.0,5.919329335619e-01,1.780025335584e+02
28000,5.0,5.917128209610e-01,1.779363426127e+02
28500,5.0,5.914474740895e-01,1.778565490876e+02
29000,5.0,5.910576460824e-01,1.777393223395e+02
29500,5.0,5.898694909221e-01,1.773820274218e+02
30000,5.0,5.913409408455e-01,1.778245130473e+02
30500,5.0,5.902502285306e-01,1.774965205596e+02
31000,5.0,5.900466479467e-01,1.774353010233e+02
31500,5.0,5.895008951536e-01,1.772711855055e+02
32000,5.0,5.892959864662e-01,1.772095665899e+02
32500,5.0,5.890436681574e-01,1.771336909363e+02
33000,5.0,5.888376631359e-01,1.770717423376e+02
33500,5.0,5.886833849489e-01,1.770253487234e+02
34000,5.0,5.886139504133e-01,1.770044687848e+02
34500,5.0,5.885953901540e-01,1.769988874546e+02
35000,5.0,5.883995875759e-01,1.769400068737e+02
35500,5.0,5.887195363503e-01,1.770362199567e+02
36000,5.0,5.888264794111e-01,1.770683792347e+02
36500,5.0,5.886823386264e-01,1.770250340795e+02
37000,5.0,5.893216744405e-01,1.772172913240e+02
37500,5.0,5.895930260216e-01,1.772988905495e+02
38000,5.0,5.899167753311e-01,1.773962465066e+02
38500,5.0,5.903190461544e-01,1.775172149841e+02
39000,5.0,5.906700895537e-01,1.776227786568e+02
39500,5.0,5.910612188111e-01,1.777403967091e+02
40000,5.0,5.915303095571e-01,1.778814588743e+02
40500,5.0,5.918956028351e-01,1.779913076854e+02
41000,5.0,5.924052687490e-01,1.781445713725e+02
41500,5.0,5.928926800661e-01,1.782911427903e+02
42000,5.0,5.933071722996e-01,1.784157864172e+02
42500,5.0,5.937014833383e-01,1.785343612758e+02
43000,5.0,5.941664509954e-01,1.786741835704e+02
43500,5.0,5.946799862574e-01,1.788286108247e+02
44000,5.0,5.952275811243e-01,1.789932802799e+02
44500,5.0,5.957790804838e-01,1.791591238708e+02
45000,5.0,5.962749144351e-01,1.793082280928e+02
45500,5.0,5.968140495233e-01,1.794703535739e+02
46000,5.0,5.973834554395e-01,1.796415819174e+02
46500,5.0,5.979280820799e-01,1.798053587853e+02
47000,5.0,5.984618623914e-01,1.799658740100e+02
47500,5.0,5.990209363678e-01,1.801339953943e+02
48000,5.0,5.995863536744e-01,1.803040243070e+02
48500,5.0,6.000917876813e-01,1.804560154004e+02
49000,5.0,6.006139028815e-01,1.806130227625e+02
49500,5.0,6.011685165054e-01,1.807798028564e+02
50000,5.0,6.017457246451e-01,1.809533774379e+02
-1,5.0,6.017457246451e-01,1.809533774379e+02
