iter,l2_abs,l2_rel
500,1.860434389502e-02,3.745841052681e-02
500,3.735568402759e-01,7.521278663259e-01
1000,3.312388258852e-01,6.669238105058e-01
500,8.103639330909e-01,1.631605234408e+00
500,1.155231200286e-01,2.325968859631e-01
1000,5.630371278057e-02,1.133631800949e-01
1500,5.885720400156e-02,1.185044375868e-01
2000,6.167130581548e-02,1.241704143933e-01
2500,5.953092267707e-02,1.198609181415e-01
3000,5.653334374039e-02,1.138255243093e-01
3500,5.248715724647e-02,1.056788400933e-01
4000,4.939319785491e-02,9.944939165398e-02
4500,4.724775590092e-02,9.512970986742e-02
500,3.791879752103e-01,7.634657218984e-01
1000,1.660762322890e-01,3.343816757490e-01
1500,1.221493432434e-01,2.459382749861e-01
2000,9.052792009628e-02,1.822709800593e-01
2500,8.223903063532e-02,1.655819408762e-01
3000,6.942629470142e-02,1.397844859757e-01
500,7.359220412919e-02,1.481722230786e-01
500,3.602175341265e-01,7.252702029379e-01
500,1.251191727548e-01,2.519177974925e-01
1000,3.500363767708e-02,7.047712283961e-02
1500,2.024915863863e-02,4.077011806428e-02
2000,1.601919890903e-02,3.225342062214e-02
2500,1.398441675337e-02,2.815654379867e-02
3000,1.228247582027e-02,2.472981708774e-02
3500,1.090995723052e-02,2.196635683993e-02
4000,9.797577202941e-03,1.972666550924e-02
4500,8.988824684637e-03,1.809830473413e-02
5000,8.536874286359e-03,1.718833748928e-02
5500,8.051174407061e-03,1.621041826922e-02
6000,8.050038639618e-03,1.620813148913e-02
6500,7.279667292845e-03,1.465704824060e-02
7000,6.984012070635e-03,1.406176926971e-02
7500,6.652147674304e-03,1.339358592139e-02
8000,6.425796578316e-03,1.293784545967e-02
8500,6.220668688084e-03,1.252483628471e-02
9000,5.982643012839e-03,1.204558995871e-02
9500,5.726374330225e-03,1.152961274540e-02
10000,5.482673852088e-03,1.103894064177e-02
10500,5.416116049115e-03,1.090493164249e-02
11000,5.039963044061e-03,1.014757659876e-02
11500,4.812923940178e-03,9.690450886245e-03
12000,4.621980861521e-03,9.306001734587e-03
12500,4.458888998530e-03,8.977628856082e-03
13000,4.300838984088e-03,8.659407350496e-03
13500,4.179046833560e-03,8.414188255473e-03
14000,4.022685682328e-03,8.099367145611e-03
14500,3.916390409522e-03,7.885349817814e-03
15000,3.816685895174e-03,7.684602473490e-03
15500,3.743553646825e-03,7.537356335874e-03
16000,3.654601011961e-03,7.358257071047e-03
16500,3.558719615190e-03,7.165207278892e-03
17000,3.474565263446e-03,6.995768986791e-03
17500,3.370466793478e-03,6.786174751956e-03
18000,3.428403235394e-03,6.902825306148e-03
18500,3.402175091715e-03,6.850016963171e-03
19000,3.145591986600e-03,6.333406684417e-03
19500,3.257263613541e-03,6.558248886311e-03
20000,3.123168071650e-03,6.288257862369e-03
20500,2.923460215991e-03,5.886161508695e-03
21000,2.860402348432e-03,5.759199359247e-03
21500,2.861521719458e-03,5.761453126413e-03
22000,2.742505705429e-03,5.521823567966e-03
22500,2.945653300347e-03,5.930845571156e-03
23000,2.648544616406e-03,5.332640167251e-03
23500,2.587720700261e-03,5.210175906555e-03
24000,2.557091955270e-03,5.148507292479e-03
24500,2.519302467885e-03,5.072421076268e-03
25000,2.547410308377e-03,5.129014043702e-03
25500,2.431648349994e-03,4.895936275145e-03
26000,2.415468208824e-03,4.863358809703e-03
26500,2.359593204347e-03,4.750858800689e-03
27000,2.317708162357e-03,4.666526501380e-03
27500,2.269694020572e-03,4.569853732686e-03
28000,2.252112591848e-03,4.534454882906e-03
28500,2.198982138509e-03,4.427480815781e-03
29000,2.168102894395e-03,4.365307841054e-03
29500,2.130121981886e-03,4.288836205130e-03
30000,2.095970005996e-03,4.220073837568e-03
30500,2.077686545236e-03,4.183261500466e-03
31000,2.038039629687e-03,4.103435496006e-03
31500,2.006877161448e-03,4.040692271363e-03
32000,2.008838130461e-03,4.044640531122e-03
32500,1.958538010801e-03,3.943365122410e-03
33000,1.935232653706e-03,3.896441584636e-03
33500,1.987205001759e-03,4.001083896152e-03
34000,1.871332393753e-03,3.767783343119e-03
34500,1.845912289843e-03,3.716601925850e-03
35000,1.822529672020e-03,3.669522829564e-03
35500,1.808357872573e-03,3.640989005174e-03
36000,1.792186955829e-03,3.608430112401e-03
36500,1.772336888843e-03,3.568463534576e-03
37000,1.751794721124e-03,3.527103465343e-03
37500,1.731631662389e-03,3.486506702790e-03
38000,1.712521735183e-03,3.448030339288e-03
38500,1.699827072854e-03,3.422470616478e-03
39000,1.722617064025e-03,3.468356504742e-03
39500,1.689229356951e-03,3.401132933451e-03
40000,1.637583014901e-03,3.297147009861e-03
40500,1.626664979562e-03,3.275164388374e-03
41000,1.612754095428e-03,3.247155896829e-03
41500,1.587691587338e-03,3.196694471143e-03
42000,1.588654250397e-03,3.198632718913e-03
42500,1.564874261521e-03,3.150753546681e-03
43000,1.556780204756e-03,3.134456788093e-03
43500,1.524141068097e-03,3.068740405558e-03
44000,1.515020888011e-03,3.050377626861e-03
44500,1.498261442305e-03,3.016633776447e-03
45000,1.501392610998e-03,3.022938142942e-03
45500,1.469167291070e-03,2.958054948458e-03
46000,1.453393494420e-03,2.926295626343e-03
46500,1.493024431780e-03,3.006089459953e-03
47000,1.427502757279e-03,2.874166625388e-03
47500,1.415357004579e-03,2.849712089751e-03
48000,1.407688762445e-03,2.834272676059e-03
48500,1.394898443888e-03,2.808520356816e-03
49000,1.377459699031e-03,2.773408789990e-03
49500,1.367484597966e-03,2.753324693885e-03
50000,1.357332501456e-03,2.732884231114e-03
50500,1.344365316677e-03,2.706775805384e-03
51000,1.357884924837e-03,2.733996492955e-03
51500,1.322260878111e-03,2.662270224380e-03
52000,1.333841413546e-03,2.685586738678e-03
52500,1.302456681459e-03,2.622396002932e-03
53000,1.292382461558e-03,2.602112338702e-03
53500,1.288312418947e-03,2.593917622036e-03
54000,1.272774245796e-03,2.562632709651e-03
54500,1.264286332337e-03,2.545542951009e-03
55000,1.257654871924e-03,2.532191017292e-03
55500,1.245396352795e-03,2.507509435152e-03
56000,1.260769756448e-03,2.538462596870e-03
56500,1.231286677747e-03,2.479100693444e-03
500,4.918823340304e-01,9.997636682482e-01
1000,4.921680268695e-01,1.000344346392e+00
1500,4.922591967987e-01,1.000529651650e+00
500,4.813434370423e-01,9.783430853505e-01
1000,4.841983594633e-01,9.841457896045e-01
1500,4.723273407364e-01,9.600176345415e-01
2000,4.517227428123e-01,9.181382520586e-01
2500,4.301977215876e-01,8.743880852203e-01
3000,3.959394801689e-01,8.047573163575e-01
3500,3.632242624065e-01,7.382627833059e-01
4000,3.375236158235e-01,6.860255490600e-01
4500,3.088397354170e-01,6.277248142891e-01
5000,2.841345146485e-01,5.775108089639e-01
5500,2.661498928446e-01,5.409565962533e-01
6000,2.552310417678e-01,5.187637467639e-01
6500,2.427451000028e-01,4.933857445937e-01
7000,2.314078125555e-01,4.703424122720e-01
7500,2.246320725712e-01,4.565705440970e-01
8000,2.181545914991e-01,4.434048949375e-01
8500,2.106436404532e-01,4.281386911116e-01
9000,2.036496100208e-01,4.139231419097e-01
9500,1.971839802830e-01,4.007815808959e-01
10000,1.913321132552e-01,3.888875085924e-01
10500,1.860879162207e-01,3.782285413935e-01
11000,1.813576992660e-01,3.686142521070e-01
11500,1.780895597897e-01,3.619716734145e-01
12000,1.754822842171e-01,3.566723178366e-01
12500,1.723281308996e-01,3.502614189839e-01
13000,1.690258534194e-01,3.435494539085e-01
13500,1.659872290740e-01,3.373733707036e-01
14000,1.632942343721e-01,3.318997887604e-01
14500,1.617525848289e-01,3.287663458701e-01
15000,1.598566139492e-01,3.249127356253e-01
15500,1.576070468705e-01,3.203404318874e-01
16000,1.554346407493e-01,3.159249598071e-01
500,3.207539220092e-01,6.263565059525e-01
1000,2.403195565382e-01,4.692872243072e-01
1500,2.256394654257e-01,4.406204802851e-01
2000,2.255933630484e-01,4.405304532521e-01
2500,2.255317094791e-01,4.404100584210e-01
3000,2.254507087086e-01,4.402518830844e-01
3500,2.253454333812e-01,4.400463052824e-01
4000,2.252096801484e-01,4.397812113436e-01
4500,2.250358292825e-01,4.394417217430e-01
5000,2.248147493738e-01,4.390100049979e-01
5500,2.245357965909e-01,4.384652762248e-01
6000,2.241869805508e-01,4.377841210428e-01
6500,2.237554014286e-01,4.369413491469e-01
7000,2.232280660889e-01,4.359115880178e-01
