iter,l2_abs,l2_rel
50,1.165484356026e+00,2.346612797363e+00
50,2.847872188603e+00,5.733970849525e+00
100,2.615522296657e+00,5.266152275138e+00
20,1.104984483338e+00,2.224800973160e+00
40,1.536877581121e+00,3.094384391513e+00
60,2.210884523566e+00,4.451445349452e+00
80,2.863916291541e+00,5.766274412486e+00
100,1.605619598706e+00,3.232791138328e+00
120,1.799636721075e-01,3.623429639740e-01
140,1.290747312336e-01,2.598820091947e-01
160,6.720091888924e-02,1.353038635351e-01
180,3.141658159104e-02,6.325486226372e-02
200,1.951570978165e-02,3.929337539921e-02
220,1.103695021002e-02,2.222204740269e-02
240,5.041815962036e-03,1.015130730609e-02
260,2.972382797913e-03,5.984663351491e-03
280,2.288101212886e-03,4.606915193722e-03
300,2.073404812411e-03,4.174640561892e-03
320,1.975406024159e-03,3.977327565413e-03
340,1.716501854981e-03,3.456044003311e-03
360,1.414900668185e-03,2.848793291642e-03
380,1.186118277524e-03,2.388157605749e-03
400,1.018961712703e-03,2.051600763827e-03
420,9.005146807247e-04,1.813116806825e-03
440,8.202891409133e-04,1.651588874319e-03
460,7.685486673945e-04,1.547413424281e-03
480,7.364348419940e-04,1.482754715421e-03
500,7.168240025434e-04,1.443269803776e-03
520,7.046468533326e-04,1.418752053687e-03
540,6.966188954744e-04,1.402588380147e-03
560,6.907510478153e-04,1.390773921773e-03
580,6.832311293693e-04,1.375633146378e-03
600,6.623433657633e-04,1.333577246501e-03
620,6.405215744609e-04,1.289640753946e-03
640,6.173603340319e-04,1.243007383954e-03
660,5.926022291792e-04,1.193158850694e-03
680,5.660644326499e-04,1.139727045601e-03
700,5.379806090315e-04,1.083182434289e-03
720,5.089373749962e-04,1.024706124151e-03
740,4.797026163570e-04,9.658441940054e-04
760,4.510667442793e-04,9.081880757284e-04
780,4.237060227853e-04,8.530993747338e-04
800,3.980972194299e-04,8.015380256961e-04
820,3.745004621562e-04,7.540277761519e-04
840,3.529927417301e-04,7.107236410659e-04
860,3.335219357917e-04,6.715206760893e-04
880,3.159588695647e-04,6.361587977800e-04
900,3.001372126239e-04,6.043031126644e-04
920,2.858797447845e-04,5.755968015784e-04
940,2.730135657888e-04,5.496917431978e-04
960,2.613777438211e-04,5.262639137327e-04
980,2.508263819645e-04,5.050195610013e-04
1000,2.412291861301e-04,4.856963479120e-04
1020,2.324708144526e-04,4.680620425210e-04
1040,2.151215104838e-04,4.331305580202e-04
1060,1.913729531109e-04,3.853146706923e-04
20,1.104984483338e+00,2.224800973160e+00
40,1.536877581121e+00,3.094384391513e+00
60,2.210884523566e+00,4.451445349452e+00
