iter,l2_abs,l2_rel
200,4.950003213459e-01,1.000000649182e+00
400,4.950003199068e-01,1.000000646274e+00
200,4.950003213459e-01,1.000000649182e+00
400,4.950003199068e-01,1.000000646274e+00
600,4.950003190974e-01,1.000000644639e+00
800,4.950003187302e-01,1.000000643897e+00
1000,4.950003185054e-01,1.000000643443e+00
1200,4.950003183142e-01,1.000000643057e+00
200,4.950209581718e-01,1.000042339739e+00
200,4.949782871039e-01,9.999561355614e-01
500,4.950159490901e-01,1.000032220382e+00
500,4.950159490901e-01,1.000032220382e+00
200,2.343843805762e-01,4.735037991430e-01
400,1.125138589361e-02,2.273007251230e-02
200,4.889939299558e-01,9.878665251613e-01
400,4.889939299558e-01,9.878665251613e-01
600,4.889939299558e-01,9.878665251613e-01
800,4.889939299558e-01,9.878665251613e-01
1000,4.889939299558e-01,9.878665251613e-01
1200,4.889939299558e-01,9.878665251613e-01
1400,4.889939299558e-01,9.878665251613e-01
1600,4.889939299558e-01,9.878665251613e-01
200,6.325008078617e-01,1.277779409819e+00
1800,4.889939299558e-01,9.878665251613e-01
400,9.604993303053e-03,1.940402687482e-02
2000,4.889939299558e-01,9.878665251613e-01
200,4.977078062026e-01,1.005470315559e+00
200,5.448824160449e-01,1.100772557664e+00
400,5.508687216514e-01,1.112866104344e+00
600,5.554416061066e-01,1.122104254758e+00
200,1.283392404252e-02,2.592711927776e-02
